County,W Weight,Unit Number
"Adams County, Washington",0.003,14
"Sanpete County, Utah",0.004,1842
"Costilla County, Colorado",0.003,472
"Crowley County, Colorado",0.006,501
"Texas County, Oklahoma",0.004,2029
"Beaver County, Oklahoma",0.003,115
"Alamosa County, Colorado",0.003,20
"Thomas County, Nebraska",0.003,2032
"Colfax County, Nebraska",0.006,445
"Echols County, Georgia",0.003,623
"Elko County, Nevada",0.005,634
"Franklin County, Washington",0,722
"Grant County, Washington",0.003,807
"Las Animas County, Colorado",0.003,1162
"Prowers County, Colorado",0.007,1724
"Adams County, Colorado",0.003,6
"Cimarron County, Oklahoma",0.004,382
"Conejos County, Colorado",0.003,461
"Dakota County, Nebraska",0.003,522
"Dawson County, Nebraska",0.003,544
"Douglas County, Washington",0.003,601
"Hall County, Georgia",0.003,853
"Hardee County, Florida",0.003,881
"Harmon County, Oklahoma",0.004,892
"Harper County, Oklahoma",0.004,894
"Harrisonburg city, Virginia",0.004,902
"Hendry County, Florida",0.003,917
"Humboldt County, Nevada",0.004,971
"Jackson County, Oklahoma",0.003,1019
"Lake County, Colorado",0.004,1138
"Lander County, Nevada",0.004,1155
"Lexington city, Virginia",0.003,1206
"Millard County, Utah",0.004,1398
"Morgan County, Colorado",0.003,1461
"Osceola County, Florida",0.003,1573
"Otero County, Colorado",0.004,1578
"Pueblo County, Colorado",0.003,1725
"Rio Grande County, Colorado",0.005,1783
"Sevier County, Arkansas",0.003,1879
"Utah County, Utah",0.003,2097
"Whitfield County, Georgia",0.003,2232
"Yakima County, Washington",0.003,2285
"Adams County, Nebraska",0.003,10
"Albany County, Wyoming",0.003,22
"Alfalfa County, Oklahoma",0.003,28
"Arapahoe County, Colorado",0.003,56
"Archuleta County, Colorado",0.003,57
"Atkinson County, Georgia",0.004,73
"Atlantic County, New Jersey",0.003,74
"Baca County, Colorado",0.003,84
"Banner County, Nebraska",0.003,94
"Barrow County, Georgia",0.003,102
"Beaver County, Utah",0.004,117
"Beckham County, Oklahoma",0.003,120
"Bedford County, Tennessee",0.005,122
"Bent County, Colorado",0.003,132
"Benton County, Arkansas",0.01,133
"Benton County, Washington",0.003,139
"Bergen County, New Jersey",0.018,141
"Berks County, Pennsylvania",0.003,143
"Big Horn County, Wyoming",0.004,152
"Blaine County, Oklahoma",0.003,160
"Blount County, Alabama",0.003,165
"Box Butte County, Nebraska",0.004,182
"Box Elder County, Utah",0.003,183
"Bronx County, New York",0.003,203
"Broward County, Florida",0.005,209
"Buena Vista County, Iowa",0.003,225
"Buffalo County, Nebraska",0.004,227
"Cache County, Utah",0.003,251
"Caddo County, Oklahoma",0.003,252
"Campbell County, Wyoming",0.003,280
"Canadian County, Oklahoma",0.003,281
"Carbon County, Utah",0.003,287
"Carbon County, Wyoming",0.003,288
"Carroll County, Arkansas",0.009,293
"Carson City, Nevada",0.005,304
"Cass County, Indiana",0.003,313
"Chase County, Nebraska",0.004,342
"Chattahoochee County, Georgia",0.003,345
"Chelan County, Washington",0.003,350
"Cherokee County, Georgia",0.003,354
"Cheyenne County, Colorado",0.003,364
"Cheyenne County, Nebraska",0.004,365
"Churchill County, Nevada",0.005,381
"Clark County, Nevada",0.003,393
"Clay County, Nebraska",0.003,412
"Cleveland County, Oklahoma",0.003,427
"Clinton County, Indiana",0.003,429
"Collier County, Florida",0.003,446
"Colquitt County, Georgia",0.005,448
"Comanche County, Oklahoma",0.003,458
"Converse County, Wyoming",0.004,462
"Crawford County, Iowa",0.006,487
"Cumberland County, New Jersey",0.003,506
"Custer County, Oklahoma",0.003,516
"Davis County, Utah",0.003,539
"DeKalb County, Alabama",0.003,547
"DeSoto County, Florida",0.004,551
"Delta County, Colorado",0.004,566
"Denver County, Colorado",0.004,568
"Dewey County, Oklahoma",0.003,573
"Dixon County, Nebraska",0.029,584
"Douglas County, Nevada",0.004,599
"Duchesne County, Utah",0.003,606
"Dundy County, Nebraska",0.003,608
"Duplin County, North Carolina",0.003,611
