Predictor,W Weight
"Abbeville County, South Carolina",0
"Accomack County, Virginia",0
"Adair County, Iowa",0
"Adair County, Kentucky",0
"Adair County, Missouri",0
"Adair County, Oklahoma",0
"Adams County, Illinois",0
"Adams County, Indiana",0
"Adams County, Nebraska",0
"Adams County, Ohio",0
"Adams County, Pennsylvania",0
"Adams County, Wisconsin",0
"Addison County, Vermont",0
"Aitkin County, Minnesota",0
"Albany County, New York",0
"Alcona County, Michigan",0
"Alcorn County, Mississippi",0
"Alexander County, Illinois",0
"Alexander County, North Carolina",0
"Alger County, Michigan",0
"Allamakee County, Iowa",0
"Allegan County, Michigan",0
"Allegany County, Maryland",0
"Allegany County, New York",0
"Alleghany County, North Carolina",0
"Allegheny County, Pennsylvania",0
"Allen County, Indiana",0
"Allen County, Kentucky",0
"Allen Parish, Louisiana",0
"Allendale County, South Carolina",0
"Alpena County, Michigan",0
"Amador County, California",0
"Amelia County, Virginia",0
"Amherst County, Virginia",0
"Amite County, Mississippi",0
"Anderson County, Kansas",0.006
"Anderson County, Kentucky",0
"Anderson County, Tennessee",0
"Anderson County, Texas",0
"Andrew County, Missouri",0
"Androscoggin County, Maine",0
"Angelina County, Texas",0.004
"Anoka County, Minnesota",0
"Anson County, North Carolina",0
"Antelope County, Nebraska",0
"Antrim County, Michigan",0
"Appanoose County, Iowa",0
"Appling County, Georgia",0
"Aransas County, Texas",0
"Arenac County, Michigan",0
"Armstrong County, Pennsylvania",0
"Aroostook County, Maine",0
"Ashe County, North Carolina",0.005
"Ashland County, Ohio",0
"Ashland County, Wisconsin",0
"Ashley County, Arkansas",0
"Ashtabula County, Ohio",0
"Asotin County, Washington",0
"Atchison County, Kansas",0
"Athens County, Ohio",0
"Atkinson County, Georgia",0
"Atlantic County, New Jersey",0
"Atoka County, Oklahoma",0
"Attala County, Mississippi",0
"Audrain County, Missouri",0
"Auglaize County, Ohio",0
"Augusta County, Virginia",0
"Avery County, North Carolina",0.024
"Avoyelles Parish, Louisiana",0
"Bacon County, Georgia",0
"Bailey County, Texas",0
"Baker County, Florida",0
"Baker County, Georgia",0
"Baker County, Oregon",0
"Baldwin County, Georgia",0
"Ballard County, Kentucky",0
"Baltimore County, Maryland",0
"Bamberg County, South Carolina",0
"Baraga County, Michigan",0
"Barbour County, Alabama",0
